gene	circuit_class	topology_type	description	evidence_source	confidence
UBE2D3	I	feed_forward_target	regulated by 1 TFs (SNAI2), no feedback role	TRRUST_topology	medium
UBE2H	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
UBE2M	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
UBE2N	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
UBE2Z	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
UBQLN4	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
UFM1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
UNC45A	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
UNC50	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
UQCC2	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
UQCRB	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
UQCRC1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
URB2	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
URI1	I	feed_forward_tf	TF with 1 known targets, no detected feedback	TRRUST_topology	medium
UROD	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
USP10	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
USP19	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
USP37	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
USP39	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
USP5	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
USP7	I	feed_forward_target	regulated by 4 TFs (ATF1, NPM1, SP1...), no feedback role	TRRUST_topology	medium
USP9X	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
USPL1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
UTP15	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
UTP18	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
UTP20	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
UXS1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
VARS2	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
VHL	III	positive_feedback_loop	positive feedback loop (VHL → AR → KLF5 → HIF1A → VHL)	TRRUST_motif	high
VMP1	I	feed_forward_target	regulated by 1 TFs (GLI3), no feedback role	TRRUST_topology	medium
VPS29	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
VPS33A	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
VPS41	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
VPS54	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
VPS72	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
WAC	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
WBP1L	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
WDHD1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
WDR1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
WDR12	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
WDR18	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
WDR26	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
WDR3	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
WDR33	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
WDR36	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
WDR4	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
WDR5	I	feed_forward_tf	TF with 1 known targets, no detected feedback	TRRUST_topology	medium
WDR82	V	chromatin_modifier	encodes chromatin/epigenetic modifier	gene_function	medium
WDTC1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
XPO5	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
XRCC1	I	feed_forward_target	regulated by 2 TFs (E2F1, PLAG1), no feedback role	TRRUST_topology	medium
XRCC2	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
XRCC5	I	feed_forward_tf	TF with 3 known targets, no detected feedback	TRRUST_topology	medium
XRN2	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
YARS2	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
YEATS2	V	chromatin_modifier	encodes chromatin/epigenetic modifier	gene_function	medium
YEATS4	I	feed_forward_tf	TF with 1 known targets, no detected feedback	TRRUST_topology	medium
YKT6	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
YPEL5	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
ZBTB11	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
ZFC3H1	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
ZMAT2	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
ZMAT5	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
ZNF335	I	feed_forward_tf	TF with 1 known targets, no detected feedback	TRRUST_topology	medium
ZNF468	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
ZNF574	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
ZNHIT2	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
ZNHIT3	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
ZRSR2	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
ZW10	I	no_regulatory_info	no known feedback involvement; default feed-forward	default	low
ARID3A	I	feed_forward	No feedback detected in TRRUST	TRRUST/default	medium
ATF5	I	feed_forward	No feedback detected in TRRUST	TRRUST/default	medium
BCLAF1	I	feed_forward	No feedback detected in TRRUST	TRRUST/default	medium
BRF1	I	feed_forward	No feedback detected in TRRUST	TRRUST/default	medium
BRF2	I	feed_forward	No feedback detected in TRRUST	TRRUST/default	medium
CEBPZ	I	feed_forward	No feedback detected in TRRUST	TRRUST/default	medium
CTCF	II	neg_feedback	Insulator protein with autoregulatory feedback	literature	high
DMRTA2	I	feed_forward	No feedback detected in TRRUST	TRRUST/default	medium
E2F6	II	neg_feedback	E2F family repressor; Rb-E2F feedback	literature	high
E4F1	I	feed_forward	No feedback detected in TRRUST	TRRUST/default	medium
ENO1	I	feed_forward	No feedback detected in TRRUST	TRRUST/default	medium
EWSR1	I	feed_forward	No feedback detected in TRRUST	TRRUST/default	medium
FOXD4	I	feed_forward	No feedback detected in TRRUST	TRRUST/default	medium
HINFP	I	feed_forward	No feedback detected in TRRUST	TRRUST/default	medium
HSF1	III	pos_feedback	Heat shock factor; stress-activated bistable switch	literature	high
KLF7	I	feed_forward	No feedback detected in TRRUST	TRRUST/default	medium
MBTPS2	I	feed_forward	No feedback detected in TRRUST	TRRUST/default	medium
NANOG	III	pos_feedback	Pluripotency TF; positive autoregulatory loop	literature	high
NFYB	I	feed_forward	No feedback detected in TRRUST	TRRUST/default	medium
NFYC	I	feed_forward	No feedback detected in TRRUST	TRRUST/default	medium
NRF1	I	feed_forward	No feedback detected in TRRUST	TRRUST/default	medium
OTX1	I	feed_forward	No feedback detected in TRRUST	TRRUST/default	medium
POLR3A	I	feed_forward	No feedback detected in TRRUST	TRRUST/default	medium
POU5F1B	I	feed_forward	No feedback detected in TRRUST	TRRUST/default	medium
RAD21	II	neg_feedback	Cohesin subunit; CTCF-cohesin feedback loop	literature	high
SETDB1	V	epigenetic	H3K9 methyltransferase; self-reinforcing silencing	literature	high
STAT5A	III	pos_feedback	JAK-STAT positive feedback; cytokine signaling bistability	literature	high
TAF1	I	feed_forward	No feedback detected in TRRUST	TRRUST/default	medium
TBP	I	feed_forward	No feedback detected in TRRUST	TRRUST/default	medium
TEAD3	I	feed_forward	No feedback detected in TRRUST	TRRUST/default	medium
THAP11	I	feed_forward	No feedback detected in TRRUST	TRRUST/default	medium
USF2	II	neg_feedback	USF family TF with known autoregulation	literature	high
YBX1	I	feed_forward	No feedback detected in TRRUST	TRRUST/default	medium
YY1	II	neg_feedback	Yin-Yang 1; context-dependent activator/repressor with autoregulation	literature	high
ZBTB17	I	feed_forward	No feedback detected in TRRUST	TRRUST/default	medium
ZNF24	I	feed_forward	No feedback detected in TRRUST	TRRUST/default	medium
ZNF317	I	feed_forward	No feedback detected in TRRUST	TRRUST/default	medium
BCL2L1	III	positive_feedback_bistable	Bcl-xL; Bcl-2/Bax ratio creates bistable survival/death decision	literature_bistable_circuit	high
CHEK1	III	positive_feedback_bistable	Chk1; ATR-Chk1 positive feedback in replication stress response	literature_bistable_circuit	high
MAX	III	positive_feedback_bistable	MYC-MAX dimerization; MYC amplification creates bistable proliferative state	literature_bistable_circuit	high
BUB1	III	positive_feedback_bistable	BUB1 kinase; spindle assembly checkpoint creates bistable wait/go signal	literature_bistable_circuit	high
BUB1B	III	positive_feedback_bistable	BubR1; mitotic checkpoint complex creates bistable mitotic exit decision	literature_bistable_circuit	high
MAD2L1	III	positive_feedback_bistable	Mad2; open/closed conformational switch creates bistable SAC signal	literature_bistable_circuit	high
CDC20	III	positive_feedback_bistable	APC/C activator; SAC-CDC20-APC creates bistable mitotic exit trigger	literature_bistable_circuit	high
CDC6	III	positive_feedback_bistable	Licensing factor; E2F target that promotes S-phase, reinforcing E2F activation	literature_bistable_circuit	high
GRB2	III	positive_feedback_bistable	RAS-GEF adaptor; part of ERK-SOS positive feedback in MAPK cascade	literature_bistable_circuit	high
